name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1024;0;1024;3087;1885;3087;1866;0
header;237;141;237;188;1836;188;1836;141
A;1050;208;1050;234;1071;234;1071;208
D;1704;259;1704;284;1730;284;1730;259
A;1781;407;1781;412;1785;412;1785;407
A;1734;859;1734;865;1739;865;1739;859
B;1044;887;1044;916;1064;916;1064;887
B;1271;1403;1271;1417;1292;1417;1292;1403
A;1667;1455;1667;1461;1672;1461;1672;1455
C;1040;1559;1040;1591;1064;1591;1064;1559
D;1041;2229;1041;2256;1064;2256;1064;2229
A;1756;2807;1756;2833;1781;2833;1781;2807
B;1060;2824;1060;2840;1082;2840;1082;2824
