name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;234;0;581;3075;1105;3075;1059;0
header;231;161;231;197;1859;197;1859;161
A;1035;225;1035;252;1056;252;1056;225
B;384;414;384;433;398;433;398;414
B;1039;897;1039;924;1059;924;1059;897
C;689;1031;689;1075;721;1075;721;1031
A;607;1033;607;1075;635;1075;635;1033
C;649;1033;649;1077;679;1077;679;1033
C;732;1033;732;1076;761;1076;761;1033
C;1044;1573;1044;1602;1066;1602;1066;1573
D;1057;2247;1057;2273;1078;2273;1078;2247
A;859;2905;859;2906;860;2906;860;2905
